TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths,Year,Month,MonthName,YearMonth,Quarter
109,CUST1913,ACC64393,Credit,Withdrawal,Home Loan,Firm A,West,Manager 1,2023-07-17,47387.11,2980.57,0.780701036,784,170,2023,7,Jul,2023-07,3
19,CUST1569,ACC66190,Current,Payment,Personal Loan,Firm C,South,Manager 4,2023-01-13,55806.54,27996.69,0.299267659,336,197,2023,1,Jan,2023-01,1
14,CUST5558,ACC71426,Current,Withdrawal,Mutual Fund,Firm C,North,Manager 2,2023-09-28,51080.48,81482.16,0.388445047,712,95,2023,9,Sep,2023-09,3
107,CUST4241,ACC49422,Loan,Deposit,Credit Card,Firm D,Central,Manager 1,2023-02-05,70472.7,39598.37,0.561809198,414,168,2023,2,Feb,2023-02,1
7,CUST2578,ACC88252,Loan,Deposit,Savings Account,Firm B,East,Manager 4,2023-11-19,29830.49,111731.99,0.655635048,391,20,2023,11,Nov,2023-11,4
70,CUST5664,ACC35419,Loan,Withdrawal,Home Loan,Firm E,South,Manager 4,2023-05-24,70066.07,60139.89,1.125174467,625,46,2023,5,May,2023-05,2
90,CUST7855,ACC16241,Loan,Transfer,Credit Card,Firm D,Central,Manager 3,2024-02-21,42066.64,61265.24,0.484136315,534,226,2024,2,Feb,2024-02,1
37,CUST6210,ACC11062,Savings,Transfer,Mutual Fund,Firm C,North,Manager 2,2023-02-14,66872.65,-9084.22,0.354047864,737,190,2023,2,Feb,2023-02,1
12,CUST1121,ACC57700,Credit,Transfer,Personal Loan,Firm B,South,Manager 4,2024-03-23,12765.98,32951.95,0.35022139,402,14,2024,3,Mar,2024-03,1
36,CUST2626,ACC55729,Loan,Transfer,Home Loan,Firm D,West,Manager 1,2023-09-30,63450.48,73382.12,0.504168713,417,217,2023,9,Sep,2023-09,3
74,CUST9564,ACC92360,Savings,Transfer,Savings Account,Firm A,South,Manager 3,2023-03-07,86691.86,13121.81,0.396828404,325,173,2023,3,Mar,2023-03,1
100,CUST5351,ACC32890,Credit,Deposit,Personal Loan,Firm C,South,Manager 3,2024-04-06,78791.45,50779.78,0.639159334,453,114,2024,4,Apr,2024-04,2
63,CUST7002,ACC76597,Current,Deposit,Personal Loan,Firm E,West,Manager 3,2024-02-17,65971.8,52324.17,0.506482939,473,77,2024,2,Feb,2024-02,1
1,CUST3602,ACC31902,Current,Deposit,Credit Card,Firm D,Central,Manager 2,2023-05-15,103237.59,65592.21,0.599326659,490,134,2023,5,May,2023-05,2
163,CUST2842,ACC80131,Credit,Deposit,Mutual Fund,Firm C,South,Manager 4,2023-04-19,56748.44,33288.49,0.46315795,516,115,2023,4,Apr,2023-04,2
83,CUST2915,ACC57597,Savings,Deposit,Credit Card,Firm A,South,Manager 1,2024-03-23,30242.6,46827.68,0.236370294,587,41,2024,3,Mar,2024-03,1
39,CUST8416,ACC22799,Loan,Payment,Home Loan,Firm E,East,Manager 1,2023-05-24,23522.49,30903.98,0.257116909,511,202,2023,5,May,2023-05,2
67,CUST5121,ACC70741,Credit,Withdrawal,Credit Card,Firm A,South,Manager 4,2023-10-16,102114.79,68977.7,0.709799465,320,220,2023,10,Oct,2023-10,4
89,CUST5320,ACC11062,Credit,Transfer,Credit Card,Firm D,South,Manager 4,2023-04-26,65270.65,108443.43,0.285833484,356,171,2023,4,Apr,2023-04,2
